title  Photometry data for APASS_J085815.7-430955 from search centered on 134.5651678 -43.16525496 using the apass calibration catalog
Median of Right Ascension  134.56543, rms   0.00273
Median of Declination      -43.16530, rms   0.00141
Median of magcal_magdep        12.70, rms      0.31
Median of magcal_local_rms      0.16, rms      0.26
Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	NUMBER	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
2415077.678169	1900.156653	12.75	 0.08	14.05	134.56553	-43.16537	 -2.8	0.335	b24753	10	0	1349451776	558694	640	0.000700		16,17,18,19,21,22,28,30	7,9
2415089.681038	1900.189537	 0.00	 0.00	11.09	  0.00000	  0.00000	  0.0	0.000	am00383	9	0	0	0	2048	-1.000000			11
2415109.519672	1900.243890	12.64	 0.07	13.27	134.56572	-43.16522	-82.0	0.573	b24905	10	0	1349451777	836840	640	0.000700		0,16,17,18,19,21,22,28,30	7,9
2415116.577208	1900.263225	12.37	 0.19	13.58	134.56415	-43.16427	-63.4	0.348	am00415	10	0	1349453825	444479	256	0.000700		0,11,16,17,18,19,21,22,28,30	8
2415116.620837	1900.263345	12.56	 0.63	12.63	134.56378	-43.16523	 41.4	0.276	b24965	9	8396800	1349386243	1004047	640	0.000700	13,23	0,1,17,18,19,21,22,28,30	7,9
2415128.613236	1900.296201	12.76	 0.06	15.55	134.56555	-43.16518	-67.6	0.274	b25144	10	0	1349451776	434493	640	0.000700		16,17,18,19,21,22,28,30	7,9
2415148.582273	1900.350910	 0.00	 0.00	12.10	  0.00000	  0.00000	  0.0	0.000	am00458	10	0	0	0	2048	-1.000000			11
2415159.496834	1900.380813	 0.00	 0.00	12.22	  0.00000	  0.00000	  0.0	0.000	am00469	9	0	0	0	2048	-1.000000			11
2415337.828718	1900.869394	 0.00	 0.00	12.15	  0.00000	  0.00000	  0.0	0.000	am00719	9	0	0	0	2048	-1.000000			11
2415337.845339	1900.869439	 0.00	 0.00	12.84	  0.00000	  0.00000	  0.0	0.000	b26580	9	0	0	0	2048	-1.000000			11
2415338.830836	1900.872139	 0.00	 0.00	11.65	  0.00000	  0.00000	  0.0	0.000	am00721	10	0	0	0	2048	-1.000000			11
2415338.874813	1900.872260	 0.00	 0.00	11.87	  0.00000	  0.00000	  0.0	0.000	am00722	9	0	0	0	2048	-1.000000			11
2415344.830035	1900.888575	 0.00	 0.00	11.68	  0.00000	  0.00000	  0.0	0.000	am00723	10	0	0	0	2048	-1.000000			11
2415347.870385	1900.896905	12.74	 0.09	14.80	134.56500	-43.16557	-71.5	0.097	b26712	10	0	1349453824	452287	512	0.000700		11,16,17,18,19,21,22,28,30	9
2415411.682068	1901.071732	 0.00	 0.00	12.11	  0.00000	  0.00000	  0.0	0.000	b26905	10	0	0	0	2048	-1.000000			11
2415474.569611	1901.244026	 0.00	 0.00	12.88	  0.00000	  0.00000	  0.0	0.000	am00743	10	0	0	0	2048	-1.000000			11
2415474.613834	1901.244147	12.75	 0.06	15.40	134.56568	-43.16528	-63.3	0.137	b27039	10	0	1349451776	222637	640	0.000700		16,17,18,19,21,22,28,30	7,9
2415485.568664	1901.274161	 0.00	 0.00	12.84	  0.00000	  0.00000	  0.0	0.000	am00754	10	0	0	0	2048	-1.000000			11
2415486.643845	1901.277106	 0.00	 0.00	11.97	  0.00000	  0.00000	  0.0	0.000	b27134	10	0	0	0	2048	-1.000000			11
2415493.555738	1901.296043	12.68	 0.08	13.29	134.56863	-43.16403	 58.6	0.681	b27216	10	109051904	1349386243	699237	4736	0.000700	23,25,26	0,1,17,18,19,21,22,28,30	7,9,12
2415516.537001	1901.359005	 0.00	 0.00	11.39	  0.00000	  0.00000	  0.0	0.000	am00779	10	0	0	0	2048	-1.000000			11
2415516.582016	1901.359129	 0.00	 0.00	11.47	  0.00000	  0.00000	  0.0	0.000	am00780	9	0	0	0	2048	-1.000000			11
2415519.509073	1901.367148	 0.00	 0.00	11.68	  0.00000	  0.00000	  0.0	0.000	am00785	10	0	0	0	2048	-1.000000			11
2415526.511428	1901.386333	 0.00	 0.00	11.27	  0.00000	  0.00000	  0.0	0.000	am00790	9	0	0	0	2048	-1.000000			11
2415526.554366	1901.386450	 0.00	 0.00	11.38	  0.00000	  0.00000	  0.0	0.000	am00791	10	0	0	0	2048	-1.000000			11
2415701.821725	1901.866635	 0.00	 0.00	12.16	  0.00000	  0.00000	  0.0	0.000	am01113	10	0	0	0	2048	-1.000000			11
2415708.851955	1901.885896	12.66	 0.10	14.16	134.56515	-43.16549	  0.6	0.206	b28857	10	0	1349453824	675844	512	0.000700		11,16,17,18,19,21,22,28,30	9
2415719.854296	1901.916039	 0.00	 0.00	11.31	  0.00000	  0.00000	  0.0	0.000	am01116	9	0	0	0	2048	-1.000000			11
2415725.832374	1901.932417	 0.00	 0.00	11.31	  0.00000	  0.00000	  0.0	0.000	am01133	10	0	0	0	2048	-1.000000			11
2415752.766962	1902.006211	 0.00	 0.00	11.43	  0.00000	  0.00000	  0.0	0.000	am01144	10	0	0	0	2048	-1.000000			11
2415752.852838	1902.006446	 0.00	 0.00	11.84	  0.00000	  0.00000	  0.0	0.000	am01145	9	0	0	0	2048	-1.000000			11
2415810.658461	1902.164818	 0.00	 0.00	11.27	  0.00000	  0.00000	  0.0	0.000	am01156	9	0	0	0	2048	-1.000000			11
2415817.664625	1902.184013	 0.00	 0.00	11.24	  0.00000	  0.00000	  0.0	0.000	am01157	9	0	0	0	2048	-1.000000			11
2415821.631483	1902.194881	12.62	 0.24	12.63	134.56542	-43.16507	-83.8	0.520	b29157	9	8192	1349386241	869685	640	0.000700	13	0,17,18,19,21,22,28,30	7,9
2415842.627184	1902.252403	 0.00	 0.00	12.13	  0.00000	  0.00000	  0.0	0.000	am01173	10	0	0	0	2048	-1.000000			11
